Año,Región,Mes,Provincia,Área Protegida,Total,Residentes,No residentes
2008,Buenos Aires,Enero,Buenos Aires,Ciervo de los Pantanos,885,885,0
2008,Buenos Aires,Febrero,Buenos Aires,Ciervo de los Pantanos,624,624,0
2008,Buenos Aires,Marzo,Buenos Aires,Ciervo de los Pantanos,0,0,0
2008,Buenos Aires,Abril,Buenos Aires,Ciervo de los Pantanos,462,462,0
2008,Buenos Aires,Mayo,Buenos Aires,Ciervo de los Pantanos,1091,1091,0
2008,Buenos Aires,Junio,Buenos Aires,Ciervo de los Pantanos,1126,1126,0
2008,Buenos Aires,Julio,Buenos Aires,Ciervo de los Pantanos,1304,1304,0
2008,Buenos Aires,Agosto,Buenos Aires,Ciervo de los Pantanos,2912,2912,0
2008,Buenos Aires,Septiembre,Buenos Aires,Ciervo de los Pantanos,1394,1394,0
2008,Buenos Aires,Octubre,Buenos Aires,Ciervo de los Pantanos,2004,2004,0
2008,Buenos Aires,Noviembre,Buenos Aires,Ciervo de los Pantanos,1969,1969,0
2008,Buenos Aires,Diciembre,Buenos Aires,Ciervo de los Pantanos,496,496,0
2008,Cuyo,Enero,San Juan,El Leoncito,730,685,45
2008,Cuyo,Enero,San Juan,San Guillermo,0,0,0
2008,Cuyo,Enero,San Luis,Sierra de las Quijadas,4414,4280,134
2008,Cuyo,Febrero,San Juan,El Leoncito,521,484,37
2008,Cuyo,Febrero,San Juan,San Guillermo,0,0,0
2008,Cuyo,Febrero,San Luis,Sierra de las Quijadas,4421,4319,102
2008,Cuyo,Marzo,San Juan,El Leoncito,1441,1358,83
2008,Cuyo,Marzo,San Juan,San Guillermo,0,0,0
2008,Cuyo,Marzo,San Luis,Sierra de las Quijadas,4459,4364,95
2008,Cuyo,Abril,San Juan,El Leoncito,315,286,29
2008,Cuyo,Abril,San Juan,San Guillermo,0,0,0
2008,Cuyo,Abril,San Luis,Sierra de las Quijadas,1493,1444,49
2008,Cuyo,Mayo,San Juan,El Leoncito,415,382,33
2008,Cuyo,Mayo,San Juan,San Guillermo,0,0,0
2008,Cuyo,Mayo,San Luis,Sierra de las Quijadas,1987,1917,70
2008,Cuyo,Junio,San Juan,El Leoncito,414,396,18
2008,Cuyo,Junio,San Juan,San Guillermo,0,0,0
2008,Cuyo,Junio,San Luis,Sierra de las Quijadas,1005,992,13
2008,Cuyo,Julio,San Juan,El Leoncito,1453,1398,55
2008,Cuyo,Julio,San Juan,San Guillermo,0,0,0
2008,Cuyo,Julio,San Luis,Sierra de las Quijadas,4885,4809,76
2008,Cuyo,Agosto,San Juan,El Leoncito,935,875,60
2008,Cuyo,Agosto,San Juan,San Guillermo,0,0,0
2008,Cuyo,Agosto,San Luis,Sierra de las Quijadas,5018,4969,49
2008,Cuyo,Septiembre,San Juan,El Leoncito,518,474,44
2008,Cuyo,Septiembre,San Juan,San Guillermo,0,0,0
2008,Cuyo,Septiembre,San Luis,Sierra de las Quijadas,2763,2731,32
2008,Cuyo,Octubre,San Juan,El Leoncito,1065,1012,53
2008,Cuyo,Octubre,San Juan,San Guillermo,0,0,0
2008,Cuyo,Octubre,San Luis,Sierra de las Quijadas,2663,2566,97
2008,Cuyo,Noviembre,San Juan,El Leoncito,697,626,71
2008,Cuyo,Noviembre,San Juan,San Guillermo,0,0,0
2008,Cuyo,Noviembre,San Luis,Sierra de las Quijadas,1169,1034,135
2008,Cuyo,Diciembre,San Juan,El Leoncito,506,432,74
2008,Cuyo,Diciembre,San Juan,San Guillermo,5,5,0
2008,Cuyo,Diciembre,San Luis,Sierra de las Quijadas,930,858,72
2008,Córdoba,Enero,Córdoba,Quebrada del Condorito,862,717,145
2008,Córdoba,Febrero,Córdoba,Quebrada del Condorito,623,475,148
2008,Córdoba,Marzo,Córdoba,Quebrada del Condorito,888,741,147
2008,Córdoba,Abril,Córdoba,Quebrada del Condorito,705,539,166
2008,Córdoba,Mayo,Córdoba,Quebrada del Condorito,737,608,129
2008,Córdoba,Junio,Córdoba,Quebrada del Condorito,192,112,80
2008,Córdoba,Julio,Córdoba,Quebrada del Condorito,1013,741,272
2008,Córdoba,Agosto,Córdoba,Quebrada del Condorito,1139,915,224
2008,Córdoba,Septiembre,Córdoba,Quebrada del Condorito,1020,886,134
2008,Córdoba,Octubre,Córdoba,Quebrada del Condorito,1555,1387,168
2008,Córdoba,Noviembre,Córdoba,Quebrada del Condorito,1506,1266,240
2008,Córdoba,Diciembre,Córdoba,Quebrada del Condorito,745,561,184
2008,Litoral,Enero,Chaco,Chaco,209,184,25
2008,Litoral,Enero,Corrientes,Mburucuyá,185,164,21
2008,Litoral,Enero,Entre Ríos,El Palmar,21020,20934,86
2008,Litoral,Enero,Entre Ríos,Pre Delta,557,548,9
2008,Litoral,Enero,Formosa,Formosa,6,6,0
2008,Litoral,Enero,Formosa,Río Pilcomayo,1405,1383,22
2008,Litoral,Enero,Misiones,Iguazú,143361,88189,55172
2008,Litoral,Febrero,Chaco,Chaco,230,215,15
2008,Litoral,Febrero,Corrientes,Mburucuyá,277,272,5
2008,Litoral,Febrero,Entre Ríos,El Palmar,21027,20903,124
2008,Litoral,Febrero,Entre Ríos,Pre Delta,541,537,4
2008,Litoral,Febrero,Formosa,Formosa,1,1,0
2008,Litoral,Febrero,Formosa,Río Pilcomayo,688,681,7
2008,Litoral,Febrero,Misiones,Iguazú,116685,63244,53441
2008,Litoral,Marzo,Chaco,Chaco,231,184,47
2008,Litoral,Marzo,Corrientes,Mburucuyá,265,250,15
2008,Litoral,Marzo,Entre Ríos,El Palmar,19386,13880,5506
2008,Litoral,Marzo,Entre Ríos,Pre Delta,362,360,2
2008,Litoral,Marzo,Formosa,Formosa,0,0,0
2008,Litoral,Marzo,Formosa,Río Pilcomayo,1080,1055,25
2008,Litoral,Marzo,Misiones,Iguazú,92956,43421,49535
2008,Litoral,Abril,Chaco,Chaco,193,176,17
2008,Litoral,Abril,Corrientes,Mburucuyá,171,167,4
2008,Litoral,Abril,Entre Ríos,El Palmar,2908,2849,59
2008,Litoral,Abril,Entre Ríos,Pre Delta,565,561,4
2008,Litoral,Abril,Formosa,Formosa,0,0,0
2008,Litoral,Abril,Formosa,Río Pilcomayo,276,268,8
2008,Litoral,Abril,Misiones,Iguazú,50535,19800,30735
2008,Litoral,Mayo,Chaco,Chaco,354,340,14
2008,Litoral,Mayo,Corrientes,Mburucuyá,93,82,11
